Row Labels,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F2bandwidth_sma3nz_amean,MeanUnvoicedSegmentLength,alphaRatioUV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,loudnessPeaksPerSec,loudness_sma3_meanFallingSlope,loudness_sma3_stddevNorm,slopeUV500-1500_sma3nz_amean
P Value,0.002181357,0.078175992,0.002418552,0.017699438,0.058500453,0.061655935,0.065498261,0.005253885,0.044410869,0.010950659,0.051059848
T Statistic,3.431576521,1.839953216,3.389610577,-2.546885426,-1.986587584,1.960405987,1.930072523,3.069832643,2.12139148,-2.757728216,2.053648887
