Row Labels,repeat,brunet,honore,type token
Off Mean,8.6,7.317434118,481.8344577,0.861859038
Off Std,9.605553949,1.899015213,258.9609326,0.115095771
On Mean,5.3,7.146408317,421.218139,0.896343846
On Std,5.677440738,1.658839843,295.1317554,0.07924911
