,AudioFile,Mean_Pause_Length_VADInt_1,Mean_Pause_Length_VADInt_2,Mean_Pause_Length_VADInt_3,Pause_Percentage_VADInt_1,Pause_Percentage_VADInt_2,Pause_Percentage_VADInt_3,Pause_Speech_Ratio_VADInt_1,Pause_Speech_Ratio_VADInt_2,Pause_Speech_Ratio_VADInt_3,Pause_Time_VADInt_1,Pause_Time_VADInt_2,Pause_Time_VADInt_3,Pause_Variability_VADInt_1,Pause_Variability_VADInt_2,Pause_Variability_VADInt_3,Speech_Time_VADInt_1,Speech_Time_VADInt_2,Speech_Time_VADInt_3,Total_Time_VADInt_1,Total_Time_VADInt_2,Total_Time_VADInt_3
0,10_counting_off.wav,0.29000000000000004,0.26800000000000007,0.185,0.08529411764705884,0.09852941176470588,0.10487444608567209,0.09324758842443731,0.10929853181076671,0.11716171617161716,1.1600000000000001,1.3399999999999999,1.42,0.05129999999999999,0.056576,0.05007500000000001,12.44,12.26,12.12,13.6,13.6,13.54
1,10_ahh_on.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,10.2,10.14,10.2,10.2,10.14
2,10_counting_on.wav,0.2933333333333334,0.38222222222222224,0.3533333333333333,0.16708860759493666,0.21772151898734177,0.2636942675159235,0.20060790273556223,0.27831715210355984,0.35813148788927324,2.639999999999999,3.4399999999999995,4.139999999999999,0.055733333333333336,0.14981728395061727,0.1554222222222222,13.16,12.36,11.56,15.799999999999999,15.799999999999999,15.7
3,10_sentence_off.wav,0.18285714285714288,0.3066666666666667,0.2575,0.13016528925619833,0.12080536912751669,0.145413870246085,0.14964370546318287,0.13740458015267165,0.1701570680628272,1.2599999999999998,1.0799999999999992,1.2999999999999998,0.023020408163265303,0.08288888888888889,0.08054375,8.42,7.86,7.64,9.68,8.94,8.94
4,10_freespeech_off.wav,0.2864285714285714,0.358,0.5432,0.25141065830721004,0.33542713567839194,0.42426147077309867,0.3358458961474037,0.5047258979206048,0.7368995633187773,8.02,10.68,13.5,0.061915816326530634,0.08136933333333332,0.19102976,23.88,21.16,18.32,31.9,31.84,31.82
5,10_ahh_off.wav,0.0,0.0,0.0,-1.6447748512965284e-16,-1.6447748512965284e-16,-1.6447748512965284e-16,-1.644774851296528e-16,-1.644774851296528e-16,-1.644774851296528e-16,-1.7763568394002505e-15,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0,0.0,0.0,10.8,10.8,10.8,10.799999999999999,10.799999999999999,10.799999999999999
6,10_sentence_on.wav,0.41600000000000004,0.29500000000000004,0.20714285714285716,0.15877862595419848,0.18015267175572516,0.22137404580152675,0.18874773139745918,0.21973929236499062,0.2843137254901961,2.08,2.3599999999999994,2.9000000000000004,0.12870399999999999,0.130275,0.09786326530612245,11.02,10.74,10.2,13.1,13.1,13.1
7,10_animal_off.wav,0.3503030303030303,0.5333333333333333,0.7095652173913044,0.3753246753246754,0.4657980456026059,0.5010337698139214,0.600831600831601,0.8719512195121952,1.0041436464088398,11.560000000000002,14.3,14.54,0.14385748393021122,0.3869333333333333,0.5456650283553874,19.24,16.4,14.48,30.8,30.7,29.02
8,10_freespeech_on.wav,0.44551724137931037,0.5674074074074075,0.43,0.332815734989648,0.3936721991701245,0.4424273858921162,0.49883630721489525,0.6492728828058171,0.7934883720930234,12.86,15.180000000000003,17.060000000000002,0.16071438763376933,0.3203895747599451,0.32155999999999996,25.78,23.38,21.5,38.64,38.56,38.56
9,10_animal_on.wav,0.2790243902439024,0.463125,0.5011764705882352,0.34656084656084657,0.4424778761061947,0.5170532060027285,0.5303643724696356,0.7936507936507937,1.0706214689265536,10.48,13.0,15.16,0.06007709696609163,0.16147773437500001,0.20103391003460208,19.76,16.38,14.16,30.240000000000002,29.38,29.32
